,course_organization,course_Certificate_type,course_rating,course_students_enrolled_modified,course_difficulty_modified
163,deeplearning.ai,COURSE,4.7,4.0,1.0
164,University of Illinois at Urbana-Champaign,COURSE,4.8,1.0,1.0
165,IESE Business School,COURSE,4.8,5.0,0.5
166,UCL School of Management,COURSE,4.8,7.0,0.0
167,Università Bocconi,COURSE,4.6,1.0,0.5
168,Universitat Autònoma de Barcelona,COURSE,4.6,7.0,0.0
169,University of Virginia,COURSE,4.8,1.0,0.0
170,Universidad de Chile,COURSE,4.8,4.0,1.0
171,Google,COURSE,4.8,8.0,0.0
172,University of Minnesota,COURSE,4.3,14.0,0.5
173,Wesleyan University,SPECIALIZATION,4.6,14.0,0.0
174,Wesleyan University,COURSE,4.7,12.0,0.5
175,Arizona State University,SPECIALIZATION,4.7,15.0,0.0
176,Universidad Nacional Autónoma de México,COURSE,4.8,2.0,1.0
177,Universidad de Chile,COURSE,4.8,2.0,1.0
178,University of Pennsylvania,SPECIALIZATION,4.6,1.0,0.0
179,University of New Mexico,COURSE,4.6,5.0,0.0
180,Northwestern University,COURSE,4.7,1.0,0.0
181,"University of Maryland, College Park",SPECIALIZATION,4.5,9.0,1.0
182,University System of Georgia,COURSE,4.2,14.0,0.0
183,University of Colorado System,SPECIALIZATION,4.6,2.0,0.0
184,Universitat Autònoma de Barcelona,COURSE,4.8,5.0,0.0
185,The Pennsylvania State University,COURSE,4.8,2.0,0.5
186,Wesleyan University,SPECIALIZATION,4.4,10.0,0.0
187,PwC,SPECIALIZATION,4.6,22.0,0.0
188,IBM,COURSE,4.7,11.0,0.0
189,University of Amsterdam,COURSE,4.8,2.0,0.0
190,University of Michigan,COURSE,4.7,1.0,1.0
191,Google Cloud,SPECIALIZATION,4.4,7.511918274687854,1.0
192,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,12.0,1.0
193,Google Cloud,SPECIALIZATION,4.6,12.0,1.0
194,Vanderbilt University,COURSE,4.7,4.0,0.0
195,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,14.0,1.0
196,Johns Hopkins University,SPECIALIZATION,4.5,83.0,0.0
197,Duke University,COURSE,4.5,14.0,0.0
198,IBM,COURSE,4.6,8.0,0.0
199,Johns Hopkins University,SPECIALIZATION,4.6,74.0,0.0
200,Johns Hopkins University,SPECIALIZATION,4.4,21.0,1.0
201,Duke University,COURSE,4.7,13.0,0.5
202,PwC,COURSE,4.8,6.0,0.0
203,IBM,COURSE,4.6,6.0,1.0
204,"University of California, Davis",SPECIALIZATION,4.5,9.0,0.0
205,University of Colorado System,SPECIALIZATION,4.5,14.0,2.0
206,Johns Hopkins University,COURSE,4.7,1.0,0.0
207,PwC,COURSE,4.6,12.0,0.0
208,IBM,COURSE,4.7,11.0,0.0
209,Universiteit Leiden,COURSE,4.8,15.0,0.0
210,University of Pennsylvania,COURSE,4.6,3.0,0.5
211,deeplearning.ai,SPECIALIZATION,4.8,69.0,1.0
212,Universitat Autònoma de Barcelona,COURSE,4.8,4.0,0.0
213,University of Michigan,COURSE,4.7,4.0,0.0
214,Novosibirsk State University ,COURSE,4.4,8.0,0.0
215,University of Virginia,COURSE,4.6,24.0,0.0
216,University of Virginia,COURSE,4.6,1.0,0.0
217,Johns Hopkins University,COURSE,4.7,6.0,0.5
218,Michigan State University,COURSE,4.7,9.0,0.5
219,The University of Sydney,COURSE,4.6,1.0,1.0
220,Google Cloud,SPECIALIZATION,4.6,1.0,1.0
221,Google Cloud,SPECIALIZATION,4.7,30.0,1.0
222,Google Cloud,SPECIALIZATION,4.8,7.511918274687854,1.0
223,University of Colorado Boulder,SPECIALIZATION,4.6,7.511918274687854,1.0
224,Berklee College of Music,COURSE,4.8,4.0,0.5
225,Berklee College of Music,SPECIALIZATION,4.8,5.0,0.0
226,Ticket for Change,COURSE,4.7,5.0,0.5
227,University of Colorado Boulder,SPECIALIZATION,4.4,7.511918274687854,0.0
228,Lund University,COURSE,4.5,2.0,0.0
229,University at Buffalo,SPECIALIZATION,4.6,3.0,0.0
230,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,38.0,0.0
231,University of Illinois at Urbana-Champaign,COURSE,4.4,5.0,0.5
232,University of Virginia,SPECIALIZATION,4.7,14.0,0.0
233,University of Virginia,COURSE,4.7,5.0,0.0
234,University of Alberta,COURSE,4.5,3.0,0.0
235,The University of Melbourne,COURSE,4.9,4.0,1.0
236,Tecnológico de Monterrey,SPECIALIZATION,4.6,7.511918274687854,0.0
237,Pontificia Universidad Católica de Chile,COURSE,4.9,2.0,0.0
238,Stanford University,COURSE,4.8,13.0,1.0
239,Duke University,COURSE,4.6,15.0,0.5
